,Process,Accepted,Inclusion_Rate,Adaptation_Rate,Cost,Frequency,Purchased,Rides,Ending_Position,Starting_Position,Value
25,Application Communication Group,0,61,8,351.248,205,588.85,43,"[40.74930954, -73.99221039]","[40.72114182, -74.00994873]",59
26,Application Communication Group,0,24,77,436.032,852,154.6,44,"[40.75789261, -73.97076416]","[40.78358078, -73.95265198]",44
27,Application Communication Group,0,48,48,230.128,371,729.75,22,"[40.81656265, -73.88846588]","[40.74909973, -73.97567749]",23
28,Application Communication Office,0,83,85,484.48,464,173.5,21,"[40.75383759, -73.99596405]","[40.80104065, -73.96527863]",36
29,Application Communication Office,1,71,94,436.032,886,977.65,8.5,"[40.73636627, -73.98124695]","[40.77873993, -73.95822906]",26
30,Application Communication Office,0,80,93,532.928,871,883.75,24,"[40.70992661, -74.00960541]","[40.79944611, -73.96843719]",60
31,Application Communication Office,0,42,39,508.704,426,358.8,11.5,"[40.70992661, -74.00960541]","[40.77469635, -73.98210144]",32
32,Application Communication Office,1,3,53,520.816,528,845.8,22.5,"[40.76013565, -73.97584534]","[40.75986481, -73.97226715]",46
33,Application Communication Office,1,52,22,363.36,280,455.15,29,"[40.78987122, -73.966362]","[40.76916122, -73.96511841]",39
34,Application Communication Office,1,24,24,121.12,538,480.45,29.5,"[40.75920105, -73.97023773]","[40.71217346, -73.96391296]",21
35,Application Communication Office,0,69,50,181.68,623,916.05,23.5,"[40.77344131, -73.95558929]","[40.77168655, -73.98213959]",27
36,Application Communication Office,1,75,93,72.672,73,370,15.5,"[40.76055527, -73.97976685]","[0.0, 0.0]",41
37,Application Communication Office,1,52,28,387.584,582,789.7,40,"[40.72621155, -73.98042297]","[40.746521, -73.97254944]",23
38,Application Communication Office,0,40,74,399.696,596,9.9,2,"[40.71620178, -74.01474762]","[40.79573059, -73.97415924]",54
39,Application Communication Office,0,7,52,387.584,37,188.2,33,"[40.81656265, -73.88846588]","[40.7439003, -73.99939728]",44
40,Application Communication Office,1,86,9,36.336,857,306.55,15,"[40.73994827, -73.98949432]","[40.729911799999996, -73.98078156]",28
41,Application Communication Office,0,58,50,496.592,667,302.65,7.5,"[40.75834274, -73.96240997]","[40.75056839, -73.9877243]",27
42,Application Communication Office,0,41,86,230.128,485,328.05,43.5,"[40.75920105, -73.97023773]","[40.74050903, -73.97915649]",34
43,Application Communication Office,0,10,17,302.8,899,142,32,"[40.73403549, -74.00247192]","[40.77873993, -73.95822906]",56
44,Application Communication Office,0,59,39,351.248,530,229.25,44,"[40.76871109, -73.98545837]","[40.75932312, -73.99577332]",31
45,Application Communication Office,1,19,8,145.344,900,492.5,40,"[40.74438858, -73.97486877]","[40.76407242, -73.97333527]",27
46,Application Communication Office,0,25,28,193.792,407,507.55,21,"[40.73404312, -73.98986053]","[40.71595764, -74.00466919]",54
47,Application Communication Office,1,15,72,230.128,80,287.85,3.5,"[40.72634125, -74.00235748]","[40.76818085, -73.98413849]",22
48,Application Communication Office,1,33,75,436.032,622,193.45,39,"[40.75030136, -73.99487305]","[40.75162125, -73.99375916]",29
49,Application Communication Office,1,81,95,423.92,380,243.05,25.5,"[40.72634125, -74.00235748]","[40.69787216, -73.92774200000001]",37
50,Application Communication Office,0,54,92,242.24,285,821.3,6.5,"[40.74802017, -73.98296356]","[40.71389008, -74.0087738]",34
51,Application Communication Office,0,9,23,472.368,422,716.4,13.5,"[40.74564743, -73.98392487]","[40.76839066, -73.98168945]",42
52,Application Communication Office,0,20,84,314.912,894,458.75,28,"[40.76173019, -73.99022675]","[40.73419189, -73.97779846]",39
53,Application Communication Office,1,17,9,145.344,579,670.45,37.5,"[40.80126572, -73.96988678]","[40.73667526, -73.99741364]",58
54,Application Communication Office,1,40,92,60.56,892,693.75,3,"[40.65415955, -73.88738251]","[40.74588013, -73.99058533]",47
55,Application Communication Office,0,70,7,24.224,516,90.85,37,"[40.76629257, -73.96662140000001]","[40.75286102, -73.93270874]",60
56,Application Communication Office,1,52,57,242.24,677,181.6,13.5,"[40.76324081, -73.98253632]","[40.74050903, -73.97915649]",44
57,Application Communication Office,0,66,28,278.576,220,85.35,7,"[40.78335953, -73.95494843]","[40.80292892, -73.93352509]",32
58,Application Communication Process,1,91,59,157.456,89,968.6,26.5,"[40.72204971, -74.00308228]","[40.73876572, -74.00558472]",48
59,Application Communication Process,0,66,44,145.344,820,697.9,16,"[40.77645874, -73.97589111]","[40.7653656, -73.95786285]",56
60,Application Communication Process,1,37,77,121.12,65,329.2,27.5,"[40.86204910000001, -73.90930939]","[40.71913147, -74.00708771]",24
61,Application Communication Process,1,70,2,84.784,754,808.2,21,"[40.77605057, -73.95585632]","[40.74437332, -73.98094177]",38
62,Application Communication Process,1,23,22,84.784,189,315.55,42,"[40.71976471, -73.99317169]","[40.72017288, -73.99906921]",21
63,Application Communication Process,1,16,2,254.352,731,322.2,26,"[40.73904419, -73.97705841]","[40.73462677, -73.98641968]",45
64,Application Communication Process,1,53,91,205.904,833,481.95,15.5,"[40.75054932, -73.99459076]","[40.74076843, -73.97890472]",46
65,Application Communication Process,0,15,12,460.256,131,524.8,22.5,"[40.74802017, -73.98296356]","[40.76387787, -73.97439575]",53
66,Application Communication Process,1,95,45,508.704,373,832.15,17,"[40.77465057, -73.96115875]","[40.75133133, -73.98229218]",39
67,Application Communication Process,1,30,61,351.248,515,417.55,1,"[40.7491684, -73.99124908]","[40.65715027, -73.79447937]",30
68,Application Communication Process,1,23,72,181.68,515,202.35,29,"[40.86139297, -73.92446136]","[40.76217651, -73.97849274]",30
69,Application Communication Process,1,31,4,109.008,363,28.9,33.5,"[40.76623154, -73.98191833]","[40.74721909, -73.99713898]",29
70,Application Communication Process,0,99,83,218.016,277,484.65,35,"[40.73168182, -73.99027252]","[40.78794098, -73.97458649]",56
71,Application Communication Process,1,74,24,266.464,152,301.5,33,"[40.71485901, -74.01133728]","[40.72153854, -73.9890213]",49
72,Application Communication Process,1,51,96,339.136,436,440.65,6.5,"[40.76723862, -73.95349121]","[40.76163864, -73.96685028]",57
73,Application Communication Process,0,38,79,496.592,406,665.75,26,"[40.77645874, -73.97589111]","[40.76217651, -73.97849274]",51
74,Application Communication Process,0,0,56,520.816,80,110.45,10,"[40.75834274, -73.96240997]","[40.78358078, -73.95265198]",50
75,Application Communication Process,1,14,82,339.136,405,429.2,18.5,"[40.71667862, -73.94447327]","[40.79679871, -73.96469879]",30
76,Application Communication Process,1,38,9,290.688,723,356.9,36.5,"[40.70835876, -74.01419067]","[40.7168808, -73.98184967]",36
77,Application Communication Process,0,39,15,302.8,94,117.35,30.5,"[40.71749115, -73.95803833]","[40.77375412, -73.87276459]",30
78,Application Communication Process,0,77,22,181.68,107,708.5,20.5,"[40.75888824, -73.98856354]","[40.72114182, -74.00994873]",29
79,Application Communication Process,0,53,55,133.232,895,465.85,39.5,"[40.841232299999994, -73.9400177]","[40.73667526, -73.99741364]",52
80,Application Communication Process,0,3,62,532.928,121,344.5,43,"[40.70835876, -74.01419067]","[40.76404953, -73.95558929]",57
81,Application Communication Process,0,12,40,266.464,488,323.35,13.5,"[0.0, 0.0]","[40.76694107, -73.95365143]",24
82,Application Communication Process,0,42,99,12.112,587,320.4,3,"[40.78858185, -73.94892883]","[40.71709061, -73.99549103]",52
83,Application Communication Process,1,63,8,181.68,769,86.4,23.5,"[40.70281219, -73.90223694]","[40.73803711, -73.9962616]",41
84,Application Communication Process,0,2,49,472.368,489,345.1,30,"[40.74298859, -73.98935699]","[40.74574661, -73.98451996]",26
85,Application Communication Process,0,24,76,230.128,198,521,11,"[40.80160522, -73.94350433]","[40.72460175, -73.99662781]",51
86,Application Communication Process,1,55,37,133.232,142,158.8,37.5,"[40.71974945, -74.01015472]","[40.73876572, -74.00558472]",29
87,Application Communication Process,1,85,45,472.368,594,933.75,29,"[40.75656128, -73.97338867]","[40.78133011, -73.96062469]",53
88,Application Communication Process,1,60,94,472.368,650,741.8,31.5,"[40.84777069, -73.93649292]","[40.73730087, -73.99655151]",29
89,Application Communication Product,1,69,73,363.36,231,977.1,12.5,"[40.75608826, -73.99086761]","[40.75014114, -73.97733307]",43
90,Application Communication Product,1,33,56,145.344,860,124.15,12,"[40.753944399999995, -73.99203491]","[40.76485825, -73.98415375]",41
91,Application Communication Product,1,16,68,520.816,303,413.55,42.5,"[0.0, 0.0]","[40.75115204, -73.94010925]",35
92,Application Communication Product,1,51,27,375.472,605,262.65,7.5,"[40.75139999, -73.99690247]","[40.71849823, -73.99484253]",36
93,Application Communication Product,0,64,86,290.688,187,688.6,22.5,"[40.89178848, -73.85426331]","[40.78523636, -73.96937561]",54
94,Application Communication Product,1,32,19,109.008,873,534.95,24,"[40.77349854, -73.95168304]","[40.76848221, -73.95570374]",55
95,Application Communication Product,1,26,96,351.248,626,153.05,19,"[40.72420883, -74.00101471]","[40.77649689, -73.95264435]",48
96,Application Communication Product,0,74,99,423.92,112,48.7,16,"[40.7091217, -74.00563812]","[40.75115204, -73.94010925]",25
97,Application Communication Product,0,89,46,84.784,168,270.65,4.5,"[40.73240662, -73.98184204]","[40.76701736, -73.95657349]",22
98,Application Communication Product,1,68,26,351.248,687,33.35,13,"[40.75130081, -74.00794983]","[40.75120163, -73.99398041]",54
99,Application Communication Product,0,62,76,109.008,332,25.7,3.5,"[40.73498154, -73.99124146]","[40.75831604, -73.97743225]",25
100,Application Communication Product,1,4,85,411.808,732,611.05,8.5,"[40.787765500000006, -73.94934845]","[40.76107025, -73.93569946]",29
101,Application Communication Product,0,69,5,133.232,652,962.9,38.5,"[40.73403168, -73.99907684]","[40.7715683, -73.95090485]",32
102,Application Communication Product,1,36,87,460.256,563,440.05,3.5,"[40.74866486, -73.87660217]","[40.72039032, -73.99267578]",36
103,Application Communication Product,0,84,68,314.912,361,614.5,21,"[40.71789551, -74.01550293]","[40.7429924, -73.97399902]",21
104,Application Communication Product,1,57,49,48.448,734,6.85,37.5,"[40.74411392, -73.98136139]","[40.72983551, -73.99944305]",32
105,Application Communication Product,0,34,56,363.36,256,748.75,32.5,"[40.76623154, -73.98191833]","[40.74156952, -74.00348663]",58
106,Application Communication Product,0,81,71,508.704,464,423.65,40,"[40.76723862, -73.95349121]","[40.76873016, -73.86269379]",23
107,Application Communication Product,0,93,72,218.016,206,508.45,34.5,"[40.75101852, -73.97103119]","[40.71841049, -74.01052094]",51
108,Application Communication Product,1,44,25,12.112,694,296.25,29,"[40.80160522, -73.94350433]","[40.75111771, -73.99071503]",34
109,Application Communication Product,1,20,49,472.368,598,513.25,35.5,"[40.79871368, -73.96331024]","[40.6440506, -73.78713989]",50
110,Application Communication Product,1,16,93,96.896,196,304.5,33,"[40.75371552, -73.98148346]","[40.779304499999995, -73.95587158]",44
111,Application Communication Product,0,26,71,496.592,774,696.75,44,"[40.78598404, -73.94567108]","[40.76850891, -73.96987152]",27
112,Application Communication Product,0,7,44,12.112,676,204.4,13,"[40.74729156, -73.99324036]","[40.73526001, -73.99387359999999]",57
113,Application Communication Product,0,52,93,60.56,112,718.1,38.5,"[40.77349854, -73.95168304]","[40.7720108, -73.99027252]",60
114,Application Communication Product,0,1,88,460.256,195,609.7,37.5,"[40.79618835, -73.93535614]","[40.71460724, -74.01483917]",38
115,Application Communication Product,1,14,63,230.128,404,841.35,44,"[40.74725723, -73.98552704]","[40.78523636, -73.96937561]",46
116,Application Communication Product,1,76,79,96.896,644,82.9,6.5,"[40.76937866, -73.96932983]","[40.7562561, -73.99021912]",20
117,Application Communication Product,0,21,51,327.024,80,987.9,22.5,"[40.7732811, -73.96195984]","[40.72864151, -74.00275421]",51
118,Application Communication Product,0,23,63,205.904,601,171.5,37,"[40.74341202, -73.98616028]","[40.72017288, -73.99906921]",24
119,Application Communication Service,1,33,64,532.928,665,908.7,12,"[40.74802017, -73.98296356]","[40.73460007, -73.99897003]",50
120,Application Communication Service,0,3,74,230.128,699,380.7,7.5,"[40.70281219, -73.90223694]","[40.73976898, -73.97940063]",37
121,Application Communication Service,1,23,25,133.232,104,992.1,7.5,"[40.74137497, -73.92160797]","[0.0, 0.0]",46
122,Application Communication Service,1,79,74,302.8,790,428.2,29.5,"[40.64691162, -73.78704834]","[40.72389603, -73.99834442]",37
123,Application Communication Service,1,82,27,133.232,368,488.15,25,"[0.0, 0.0]","[40.76694107, -73.95365143]",24
124,Application Communication Service,1,13,11,266.464,14,205.8,8.5,"[40.74550247, -73.98752594]","[40.75234985, -74.00081635]",34
125,Application Communication Service,0,45,35,109.008,95,165.4,33.5,"[40.66745377, -73.96108246]","[0.0, 0.0]",22
126,Application Communication Service,0,46,51,496.592,109,757.65,29.5,"[40.76491547, -73.97251129]","[40.75969315, -73.96589661]",32
127,Application Communication Service,1,68,97,48.448,46,730.4,28.5,"[40.74411392, -73.98136139]","[40.6440506, -73.78713989]",30
128,Application Communication Service,1,74,8,12.112,716,809.35,39.5,"[40.76155853, -73.97261047]","[40.72389221, -73.99133301]",34
129,Application Communication Service,0,34,74,411.808,613,944.35,1,"[40.74522018, -74.00219727]","[40.78488159, -73.97921753]",33
130,Application Communication Service,0,35,50,72.672,653,335.9,6,"[40.73819733, -73.98422241]","[40.74300003, -73.99277496]",59
131,Application Communication Service,0,16,66,508.704,106,814.05,40.5,"[40.72621155, -73.98042297]","[40.78183365, -73.97188568]",44
132,Application Communication Service,1,58,33,520.816,452,461.2,43.5,"[40.73423004, -73.98980713]","[40.76163864, -73.96685028]",27
133,Application Communication Service,1,62,5,133.232,895,653.05,8,"[40.77203751, -73.95623016]","[40.74304962, -73.9801178]",34
134,Application Communication Service,1,18,82,254.352,445,823.7,25.5,"[40.71789551, -74.01550293]","[40.76063919, -74.00213623]",48
135,Application Communication Service,0,43,9,193.792,559,784.4,19.5,"[40.73636627, -73.98124695]","[40.779304499999995, -73.95587158]",53
136,Application Communication Service,1,4,23,290.688,42,43.6,28,"[40.89178848, -73.85426331]","[40.75837708, -73.97644806]",46
137,Application Communication Service,0,51,28,133.232,201,269.35,42.5,"[40.76686096, -73.98344421]","[40.76258087, -73.97858429]",46
138,Application Communication Service,1,28,98,72.672,84,825.9,5.5,"[40.76579285, -73.98306274]","[40.63657379, -73.89412689]",43
139,Application Communication Service,1,95,42,96.896,195,814.55,16.5,"[40.73916626, -73.97684479]","[40.78913879, -73.94641876]",46
140,Application Communication Service,0,77,26,290.688,649,226.9,9.5,"[40.7521019, -73.97033691]","[40.73462677, -73.98641968]",30
141,Application Communication Service,1,12,52,72.672,619,330.85,22,"[40.75138855, -73.9786377]","[40.71897888, -73.99446869]",57
142,Application Communication Service,1,100,91,242.24,355,264.25,10.5,"[40.76766586, -73.98075104]","[40.75969315, -73.96589661]",42
143,Application Communication Service,1,23,75,242.24,481,484.55,15,"[40.75040054, -73.99480438]","[40.73323441, -74.00241852]",46
144,Application Communication Service,0,79,46,36.336,442,352.25,22.5,"[40.75130081, -74.00794983]","[40.75014114, -73.97733307]",59
145,Application Communication Service,0,22,23,157.456,106,304.2,40,"[40.75139999, -73.99690247]","[40.77611923, -73.9796524]",45
146,Application Communication Service,1,38,5,121.12,48,411.8,15,"[40.77203369, -73.94992065]","[40.76895142, -73.98516083]",34
147,Application Communication Team,1,64,76,72.672,809,918.4,26.5,"[40.71276093, -74.00975037]","[40.76573563, -73.95491028]",51
148,Application Communication Team,1,100,37,254.352,117,433.95,26.5,"[40.7624855, -73.97445679]","[40.74409103, -73.99575043]",46
149,Application Communication Team,1,58,1,411.808,169,552.4,37.5,"[40.75040054, -73.99480438]","[40.78183365, -73.97188568]",35
150,Application Communication Team,0,76,97,496.592,262,633.05,19.5,"[40.76155853, -73.97261047]","[40.73099899, -74.00508881]",21
151,Application Communication Team,0,85,55,109.008,646,10.75,33,"[40.73404312, -73.98986053]","[40.76407242, -73.97333527]",55
152,Application Communication Team,1,18,24,254.352,360,464.7,37.5,"[40.76977158, -73.99504089]","[40.7720108, -73.99027252]",44
153,Application Communication Team,0,59,42,109.008,808,496.05,31,"[40.77423096, -73.96350861]","[40.72017288, -73.99906921]",56
154,Application Communication Team,0,94,28,254.352,18,680.85,14,"[40.70693588, -74.00736237]","[40.74574661, -73.98451996]",46
155,Application Communication Team,1,48,38,351.248,680,606.45,19,"[40.72179031, -73.95818329]","[40.76461792, -73.98136139]",28
156,Application Communication Team,1,56,78,96.896,460,293.7,2,"[40.75894165, -73.91217041]","[40.75260162, -73.97293091]",47
157,Application Communication Team,0,10,29,314.912,47,871.2,19,"[40.81517029, -73.94747925]","[40.73976898, -73.97940063]",48
158,Application Communication Team,0,6,61,266.464,48,878.95,14,"[40.74520874, -73.99134827]","[40.74716568, -73.98508453]",43
159,Application Communication Team,1,21,49,399.696,632,578.4,8.5,"[40.75888824, -73.98856354]","[40.77938843, -73.98110962]",43
160,Application Communication Team,1,38,52,508.704,446,993.1,13,"[40.71749115, -73.95803833]","[40.74304962, -73.9801178]",55
161,Application Communication Team,0,11,11,169.568,753,974.9,24,"[40.73168182, -73.99027252]","[40.77607727, -73.9622345]",38
162,Application Communication Team,0,85,73,496.592,555,449.85,23,"[40.80493164, -73.96251678]","[40.75056839, -73.9877243]",42
163,Application Communication Team,1,24,93,472.368,737,535.55,25,"[40.75054932, -73.99459076]","[40.75770187, -73.98223877]",57
164,Application Communication Team,0,81,29,532.928,767,123.95,18,"[40.73408127, -73.98933411]","[40.71389008, -74.0087738]",48
165,Application Communication Team,0,98,60,496.592,748,888.3,38,"[40.75434875, -73.96577454]","[40.74240875, -73.98387146]",60
166,Application Communication Team,1,73,98,436.032,549,490.75,3.5,"[40.75072479, -73.89214325]","[40.74156952, -74.00348663]",47
167,Application Communication Team,1,23,43,532.928,568,825.05,1,"[40.73904419, -73.97705841]","[40.71595764, -74.00466919]",25
168,Application Communication Team,0,93,33,205.904,307,717.9,15.5,"[40.79871368, -73.96331024]","[40.74973679, -73.99120331]",48
169,Application Communication Team,1,58,90,60.56,792,527.3,30,"[40.7555809, -73.92842102]","[0.0, 0.0]",24
170,Application Communication Team,0,81,27,314.912,438,478.5,41,"[40.69827652, -73.96121216]","[40.78183365, -73.97188568]",53
171,Application Communication Team,0,23,97,84.784,213,183.65,37,"[40.72632599, -73.93797302]","[40.7492485, -73.99176025]",33
172,Application Communication Team,0,82,95,423.92,144,990.35,41.5,"[40.80160522, -73.94350433]","[40.72471619, -73.98733521]",53
173,Application Communication Team,0,40,70,24.224,469,870.85,42,"[40.74137497, -73.92160797]","[40.75455856, -73.99165344]",24
174,Application Communication Team,0,93,84,375.472,333,445.3,11.5,"[40.71485901, -74.01133728]","[40.74423981, -73.99559784]",58
175,Application Implementation Group,1,94,78,157.456,170,929.25,27.5,"[40.76989365, -73.98430634]","[40.75056839, -73.9877243]",20
176,Application Implementation Group,0,25,33,193.792,148,43.8,43.5,"[40.72063446, -73.99514771]","[40.71217346, -73.96391296]",30
177,Application Implementation Group,1,41,81,121.12,866,698.6,32,"[40.75764084, -73.96361542]","[40.75162125, -73.99375916]",43
178,Application Implementation Group,0,23,59,121.12,638,229.55,32.5,"[40.71220016, -73.95133209]","[40.76694489, -73.95392609]",33
179,Application Implementation Group,1,54,93,484.48,342,385.85,31,"[40.76871109, -73.98545837]","[40.80437851, -73.95522308]",23
180,Application Implementation Group,1,5,80,218.016,585,487.9,39.5,"[40.71220016, -73.95133209]","[40.73356247, -73.97650146]",60
181,Application Implementation Group,1,2,63,411.808,51,205.35,14,"[40.74866486, -73.87660217]","[40.688564299999996, -73.96588135]",45
182,Application Implementation Group,0,68,16,375.472,735,541.3,10.5,"[40.73403549, -74.00247192]","[40.7653656, -73.95786285]",22
183,Application Implementation Group,0,89,23,411.808,210,661.2,27.5,"[40.71479034, -74.01376343]","[40.75778579999999, -73.96154785]",20
184,Application Implementation Group,1,16,57,157.456,886,433.05,44,"[40.73636627, -73.98124695]","[40.77469635, -73.98210144]",27
185,Application Implementation Group,0,49,78,508.704,327,328.5,19,"[40.75920105, -73.97023773]","[0.0, 0.0]",32
186,Application Implementation Group,1,37,70,387.584,786,170.4,40.5,"[40.76234055, -73.98079681]","[40.74432373, -73.98726654]",47
187,Application Implementation Group,1,40,6,109.008,491,698.9,24,"[40.7670517, -73.93002319]","[40.76081085, -73.96105194]",23
188,Application Implementation Group,0,42,42,72.672,686,491.45,30.5,"[40.74216461, -74.00228882]","[40.68285751, -73.99788666]",46
189,Application Implementation Group,0,31,9,496.592,327,523.55,24.5,"[40.75115967, -73.99086761]","[40.73696136, -73.99713135]",25
190,Application Implementation Group,1,68,13,387.584,464,445,9,"[40.76173401, -73.97485352]","[40.71595764, -74.00466919]",44
191,Application Implementation Group,1,84,50,290.688,39,474.75,19.5,"[40.80493164, -73.96251678]","[40.73612595, -74.00835419]",33
192,Application Implementation Group,0,17,93,411.808,253,553.35,27.5,"[40.76013565, -73.97584534]","[40.75771332, -73.96961212]",51
193,Application Implementation Group,0,99,41,508.704,370,390.7,22.5,"[40.82293320000001, -73.95064545]","[40.79764175, -73.97100067]",44
194,Application Implementation Group,0,45,22,363.36,631,16.85,29,"[40.70992661, -74.00960541]","[40.76777267, -73.99586487]",54
195,Application Implementation Group,1,90,28,436.032,170,498.45,41.5,"[40.76241302, -73.96797943]","[40.7469101, -73.98074341]",34
196,Application Implementation Group,0,31,39,484.48,272,409.8,10.5,"[40.74520874, -73.99134827]","[40.67845154, -74.00020599]",33
197,Application Implementation Group,0,11,88,532.928,524,479.35,22,"[40.6925621, -73.95480347]","[40.75455856, -73.99165344]",56
198,Application Implementation Group,1,56,86,448.144,633,514,40.5,"[40.77465057, -73.96115875]","[40.75162125, -73.99375916]",40
199,Application Implementation Group,0,44,62,84.784,177,744.25,6,"[40.79938507, -73.93881226]","[40.70991135, -74.01615143]",30
200,Application Implementation Group,0,21,78,133.232,754,66.15,2.5,"[40.76241302, -73.96797943]","[40.73730087, -73.99655151]",40
201,Application Implementation Group,0,87,68,242.24,631,243.65,34.5,"[40.73404312, -73.98986053]","[40.71743774, -74.01063538]",52
202,Application Implementation Group,1,58,6,266.464,300,410.25,11.5,"[40.74520874, -73.99134827]","[40.72389603, -73.99834442]",46
203,Application Implementation Group,1,95,75,24.224,785,165.5,30.5,"[40.73268127, -73.98566437]","[40.71743774, -74.01063538]",30
204,Application Implementation Group,1,4,12,327.024,775,530.9,37,"[40.77203751, -73.95623016]","[40.75032806, -73.97471619]",52
205,Application Implementation Group,1,38,40,314.912,591,371.8,14,"[40.72179031, -73.95818329]","[40.71480942, -74.01625061]",28
206,Application Implementation Group,0,27,26,520.816,684,35.75,45,"[40.86139297, -73.92446136]","[40.75381088, -73.98825836]",40
207,Application Implementation Group,1,65,50,436.032,257,736.95,34,"[40.76579285, -73.98306274]","[40.73696136, -73.99713135]",41
208,Application Implementation Group,0,9,92,84.784,664,408.55,24.5,"[0.0, 0.0]","[40.78913879, -73.94641876]",42
209,Application Implementation Group,0,81,96,363.36,625,928.5,43.5,"[40.74861145, -73.97830963]","[40.64476013, -73.78192139]",30
210,Application Implementation Group,1,41,63,460.256,694,613.9,32,"[40.74606323, -73.99642181]","[40.73851013, -73.99958038]",21
211,Application Implementation Group,0,96,73,72.672,543,732.2,3,"[40.74642181, -73.9728775]","[40.73963928, -74.00257874]",43
212,Application Implementation Group,0,13,53,302.8,856,917.25,12.5,"[40.76285172, -73.96546173]","[40.75455856, -73.99165344]",35
213,Application Implementation Group,1,90,24,278.576,852,685.6,29,"[40.71220016, -73.95133209]","[40.72937012, -73.98986816]",60
214,Application Implementation Group,1,5,51,278.576,253,823.1,40.5,"[40.74558258, -73.99375916]","[40.74716568, -73.98508453]",26
215,Application Implementation Group,1,58,33,520.816,482,47.35,33,"[40.74725723, -73.98552704]","[40.77389145, -73.98499298]",22
216,Application Implementation Group,0,36,41,157.456,352,117,28,"[40.64369965, -73.78350067]","[40.79536057, -73.97309113]",26
217,Application Implementation Group,0,72,90,24.224,578,635.95,40,"[40.75299072, -73.97921753]","[40.77350235, -73.95992279]",20
218,Application Implementation Group,0,48,67,266.464,13,285.75,13.5,"[40.77344131, -73.95558929]","[40.82948303, -73.94184875]",33
219,Application Implementation Group,0,65,66,448.144,596,750.7,8,"[40.77203751, -73.95623016]","[40.77375412, -73.87276459]",60
220,Application Implementation Group,1,98,36,12.112,710,545.3,11.5,"[40.76977158, -73.99504089]","[40.73516083, -73.97987366]",41
221,Application Implementation Group,0,59,69,460.256,121,256.1,16.5,"[40.89178848, -73.85426331]","[0.0, 0.0]",25
222,Application Implementation Group,1,94,16,363.36,407,596.7,5.5,"[40.74761963, -73.98046112]","[40.74764252, -73.98362732]",51
